Voter,Award,Player,Rank,,,,,,,,,,,,,,,,
Barrie,Hart,Quinn Hughes,1,,,,,,,,,,,,,,,,
Barrie,Hart,Zach Werenski,2,,,,,,,,,,,,,,,,
Barrie,Hart,Cale Makar,3,,,,,,,,,,,,,,,,
Barrie,Hart,Leon Draisaitl,4,,,,,,,,,,,,,,,,
Barrie,Hart,Nikita Kucherov,5,,,,,,,,,,,,,,,,
Barrie,Vezina,Connor Hellebuyck,1,,,,,,,,,,,,,,,,
Barrie,Vezina,Andrei Vasilevskiy,2,,,,,,,,,,,,,,,,
Barrie,Vezina,Logan Thompson,3,,,,,,,,,,,,,,,,
Barrie,Vezina,Mackenzie Blackwood,4,,,,,,,,,,,,,,,,
Barrie,Vezina,Joey Daccord,5,,,,,,,,,,,,,,,,
Barrie,Norris,Cale Makar,1,,,,,,,,,,,,,,,,
Barrie,Norris,Quinn Hughes,2,,,,,,,,,,,,,,,,
Barrie,Norris,Zach Werenski,3,,,,,,,,,,,,,,,,
Barrie,Norris,Evan Bouchard,4,,,,,,,,,,,,,,,,
Barrie,Norris,Shayne Gostisbehere,5,,,,,,,,,,,,,,,,
Barrie,Calder,Kirill Marchenko,1,,,,,,,,,,,,,,,,
Barrie,Calder,Marco Rossi,2,,,,,,,,,,,,,,,,
Barrie,Calder,Wyatt Johnston,3,,,,,,,,,,,,,,,,
Barrie,Calder,Pavel Dorofeyev,4,,,,,,,,,,,,,,,,
Barrie,Calder,JJ Peterka,5,,,,,,,,,,,,,,,,
Barrie,Selke,Mikael Granlund,1,,,,,,,,,,,,,,,,
Barrie,Selke,Bryan Rust,2,,,,,,,,,,,,,,,,
Barrie,Selke,Chandler Stephenson,3,,,,,,,,,,,,,,,,
Barrie,Selke,Mika Zibanejad,4,,,,,,,,,,,,,,,,
Barrie,Selke,Mitch Marner,5,,,,,,,,,,,,,,,,
Barrie,Byng,Cale Makar,1,,,,,,,,,,,,,,,,
Barrie,Byng,Brayden Point,2,,,,,,,,,,,,,,,,
Barrie,Byng,Martin Necas,3,,,,,,,,,,,,,,,,
Barrie,Byng,Miro Heiskanen,4,,,,,,,,,,,,,,,,
Barrie,Byng,Thomas Harley,5,,,,,,,,,,,,,,,,
